Review ID,Username,Rating,Review Text,Date
e59aed9e-4902-4356-9c7e-49e33d00e5a0,Pengguna Google,5,bagus membantu,2026-01-08 23:55:53
369db14e-7cbe-4171-a455-d352780ceaf0,Pengguna Google,5,sangat dibutuhkan untuk kehidupan sehari-hari,2026-01-08 21:47:22
982bbc3b-1702-4106-a519-6d11b23b5323,Pengguna Google,5,"chek dan periksa dokter, mudah, respon cepat, dan memuaskan",2026-01-08 19:37:40
c5fa657d-44cd-42cb-8acf-b519de93fc76,Pengguna Google,5,layanan terbaik,2026-01-08 13:16:35
9d3f2029-dc4c-426d-b7e1-8f2e9f26b54c,Pengguna Google,5,singkat padat jelas dan privasi terjaga,2026-01-08 12:57:11
5d1353f3-bfb0-4c8c-9004-c828f58fec33,Pengguna Google,5,cara mudah melakukan pengobatan,2026-01-08 12:42:01
d13535e5-a9f8-4420-ae46-c09001e56bd8,Pengguna Google,2,udh isi form tp ga bs masuk chat room ih kzl mana ga bs dbatalin,2026-01-08 11:50:24
04ec79f1-b603-4bb4-8506-4b0110d244e0,Pengguna Google,5,sangat membantu terima kasihh,2026-01-08 08:53:42
21099299-5af5-47bd-ae3c-7de162e49c00,Pengguna Google,4,Sejauh ini cukup baik karena saya hanya menggunakan untuk konsultasi saja,2026-01-08 08:02:17
65d2ddd4-7d00-4eb1-bbb4-e3b5ab830f6b,Pengguna Google,5,sangat membantu 👍,2026-01-07 20:19:40
69c0c2fd-9f9b-444d-a788-34d46c658b24,Pengguna Google,5,Bagus sangat membantu.. yang penting jangan sering eror,2026-01-07 19:46:27
f44b6027-d6b5-440a-9e58-f97853fe0834,Pengguna Google,5,untuk sementara ini ok. karna baru pakai,2026-01-07 19:19:21
b4fdbf22-2d2b-4fad-991b-5d8b23416814,Pengguna Google,5,sangat membantuuuuu,2026-01-07 18:11:35
9e7bce18-850e-4892-9180-5e20400417ce,Pengguna Google,5,sangat membantu dan sangat2 bermanfaat,2026-01-07 15:38:16
3bcd85ca-b428-418b-9cc6-06897419784e,Pengguna Google,1,Dokter tidak ramah,2026-01-07 14:42:00
a3fca3d5-8202-4584-a93b-48f7a0c6bd60,Pengguna Google,5,membantu sekali,2026-01-07 12:16:16
2be64316-771b-45f7-b378-0ce21a09cf16,Pengguna Google,5,"cepat dan terbantu saat sakit, jd gk perlu keluar rumah bisa istirahat dirumah",2026-01-07 11:34:57
19429ca7-d9f0-4735-a9a5-040238be5d9b,Pengguna Google,5,terbaikk,2026-01-07 10:24:32
7eac018f-0859-44a4-90ab-3aa68003ce15,Pengguna Google,5,sangat puas,2026-01-07 09:36:28
d76f92dc-5100-4843-a216-c86340856c28,Pengguna Google,5,mantapp dokternya responsif masya allah,2026-01-07 07:46:21
53a49d4b-8ae6-420d-ae12-96db14d9f01e,Pengguna Google,5,sangat membantu,2026-01-06 22:06:05
34af7018-8950-4b24-98b0-2e7df38c30c1,Pengguna Google,1,mau konsultasi tapi tdk ada riwayat cat sy mau cat tiba2 dinyatakan selesai tdk ada edukasi yg di berikan kepada pengguna baru apknya tdk bagus,2026-01-06 19:59:12
70efce80-44aa-4cbe-8d43-f6893b1c5829,Pengguna Google,5,membantu banget 🤗,2026-01-06 19:26:30
4bacc083-3dae-410a-b19e-cceb55054010,Pengguna Google,5,konsul yang tidak memakan waktu 💯💯,2026-01-06 19:25:42
673d5332-94b8-49ce-b9bc-b0e9952a2e8d,Pengguna Google,5,terbaik,2026-01-06 14:50:31
cc6c0371-b88d-4ec6-bd0e-bcbbef266c12,Pengguna Google,5,sangat membantu ketika tidak bisa pergi ke rumah sakit ataupun klinik,2026-01-06 14:20:11
b329beb0-fdbb-4e5f-9042-0e9a50fa7f36,Pengguna Google,5,ok membntu untuk pertolongan pertama,2026-01-06 13:26:19
3ce01536-7551-4270-9f89-13a07d9b0382,Pengguna Google,5,"bagus, terbantu sekali",2026-01-06 11:32:31
c73a4d90-4dd3-4c0e-afe4-d7537a158652,Pengguna Google,5,sangat membantu,2026-01-06 09:34:53
3f86d181-38d2-4ee8-b0d9-a69ce7adcbe9,Pengguna Google,5,Aplikasi nya bagus sangat membantu sekali untuk konsultasi,2026-01-06 08:48:29
9f1771b0-6d66-4f80-8f51-48a3362c23fc,Pengguna Google,5,sangat membantu,2026-01-06 05:07:18
485983ae-e57b-4220-9b0b-3cd599b2cd3d,Pengguna Google,5,sangat membantu..trims,2026-01-06 02:49:07
8976d193-4230-4e98-94df-1ac3956bb6e4,Pengguna Google,5,dokternya sangat ramah dan juga cepat dalam menjawab keluhan😊,2026-01-06 01:10:52
9673189c-2326-4961-8439-995bd37bb571,Pengguna Google,5,"sangat membantu sekali, dokternya juga enak diajak konsultasinya dan penjelasannya juga mudah dimengerti",2026-01-05 19:34:00
3362f972-3165-4e36-9ffa-7e81655e3cf4,Pengguna Google,5,"Alhamdulillah,bagus",2026-01-05 19:30:44
c83d4489-8497-4e15-84a7-2c05b91ffd91,Pengguna Google,5,☝️,2026-01-05 18:29:07
82358658-0a86-4598-a789-ab3ba8f67958,Pengguna Google,5,sangat membantu skli dalm keadaan darurat Alhamdulillah segera teratasi,2026-01-05 17:40:47
4df4a0af-53ac-4dd8-bce5-73f1e9724024,Pengguna Google,5,aplikasi nya sangat bagus,2026-01-05 15:55:35
a8a9575b-d9aa-4786-8e16-f50342bd649d,Pengguna Google,5,ngebantu bgt disaat gaada yg bisa anter berobat,2026-01-05 14:40:35
8e306672-afab-4acb-b66d-da89f3d6fc5f,Pengguna Google,5,Baik,2026-01-05 12:14:56
9d1c14db-963a-4dbd-875c-97fad6ef46aa,Pengguna Google,5,semoga kerjasama dengan apotik makin banyak sehingga persediaan obat terpenuhi,2026-01-05 12:10:32
e4d92c03-36e8-4497-92bd-93c1c820f067,Pengguna Google,5,dokternya baik2,2026-01-05 09:07:46
35e30d27-5031-4ecd-bba5-978049f80366,Pengguna Google,5,Mantap,2026-01-05 08:02:52
60a0a3ce-cb60-4148-89b1-e2d0d311a9b3,Pengguna Google,1,gajelas banget setiap di pake selalu aja gak bisa d call atau pesan lama tersampaikan k dokter padahal dokternya online,2026-01-04 20:07:41
0ef862fd-f75b-44a2-9738-d1865911b2e4,Pengguna Google,1,Ribet banget orang butuh cepat obatlun susah kudu nyari KK foto dll 😭,2026-01-04 19:58:50
4f5f7a4b-d334-4220-a759-b213d1064006,Pengguna Google,5,good,2026-01-04 18:23:05
9dcbd711-bc7a-460e-b360-661b8427ebe6,Pengguna Google,5,"Sangat membantu, dokter fast respon dan ramah. thanks",2026-01-04 16:47:42
c3fdb16e-bd3c-42e7-b22a-17ec766e3f69,Pengguna Google,5,cepat tepat akurat,2026-01-04 15:56:12
7f7a2f67-e4b1-4a2a-aea2-87353962c75c,Pengguna Google,5,"praktis banget jika sedang dimana2 lalu merasa tdk enak badan tinggal chat halodoc obat diantarkan, bisa request obat yg biasa dimimum juga .. recomended bangetlah pokoknyaa ...sukses terus",2026-01-04 14:52:29
5698e15e-569c-4bb3-978c-8d280c35ef8e,Pengguna Google,5,sangat membantuuu,2026-01-04 11:49:18
1945bf63-ebb1-44e8-a9b8-58a2507aed85,Pengguna Google,5,"pertolongan pertama apk halodoc sangat membantu kami, respon para dokter sangat cepat serta jelas dlm konsultasi penyakit yg di derita pasien.",2026-01-04 09:59:27
